CANDIDATO_CODIGO,CANDIDATO_NOMBRE,OP_CODIGO,DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,CIRCUNSCRIPCION_CODIGO,CICUNSCRIPCION_NOMBRE,CIRCUNSCRIPCION,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,JUNTA_SEXO,SUFRAGANTES,BLANCOS,NULOS,VOTOS
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5465.0,IGNACIO FLORES,F,7443.0,438.0,1032.0,2048.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5465.0,IGNACIO FLORES,M,6367.0,272.0,877.0,1683.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5500.0,JUAN MONTALVO,F,7006.0,570.0,1084.0,1576.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5500.0,JUAN MONTALVO,M,6209.0,395.0,923.0,1297.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5555.0,LA MATRIZ,F,11734.0,350.0,1607.0,2967.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5555.0,LA MATRIZ,M,10351.0,313.0,1439.0,2335.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5940.0,SAN BUENAVENTURA,F,2328.0,111.0,353.0,507.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5940.0,SAN BUENAVENTURA,M,1967.0,79.0,286.0,417.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,125.0,ANGAMARCA,F,1788.0,652.0,324.0,275.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,125.0,ANGAMARCA,M,1761.0,501.0,284.0,382.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,1430.0,GUANGAJE,F,3462.0,970.0,494.0,740.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,1430.0,GUANGAJE,M,3123.0,558.0,381.0,842.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,2150.0,LA VICTORIA,F,1114.0,102.0,143.0,286.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,105.0,PUJILI,0.0,0.0,,2150.0,LA VICTORIA,M,993.0,87.0,150.0,254.0
